District,Enrolment of APY Male,Female
West Tripura,18225,16618
Sepahijala,5973,5431
Khowai,5514,5061
Dhalai,4125,3523
Gomati,9255,9605
South Tripura,12056,10882
Unakoti,3856,3500
North Tripura,6797,6064
