District,No. of Brs,Total Deposit,Total Advance,CD Ratio
West Tripura,194,1798117.04,914010.02,51
Sepahijala,60,168306.02,120918.89,72
Khowai,38,131668.52,86181.11,65
Dhalai,46,112674.64,107612.77,96
Gomati,64,195072.86,123899.10,64
South Tripura,59,201017.04,115262.36,57
Unakoti,33,100336.76,74820.49,75
North Tripura,48,152704.70,79302.75,52
