District,Population,No. of PMJDY Accounts,PMJDY Accounts Per Lakh Population
West Tripura,717366,206639,28805
Sepahijala,585320,77249,13198
Khowai,342864,83774,24434
Dhalai,404091,94046,23273
Gomati,482759,95158,19711
South Tripura,421618,109120,25881
Unakoti,265766,75904,28560
North Tripura,454133,114279,25164
