District,Tripura Gramin Bank,Tripura State Co- Operative Bank,Punjab National Bank,State Bank of India,UCO Bank,Bank of Baroda,Union Bank of India,Total
Dhalai,49,57,25,8,5,0,0,144
Gomati,85,73,15,17,0,0,0,190
Khowai,78,44,9,19,11,0,0,161
North Tripura,71,33,14,18,1,0,1,138
Sepahijala,110,47,11,17,9,4,0,198
South Tripura,120,44,18,28,0,0,2,212
West Tripura,113,31,24,21,1,5,0,195
