district,no_of_brs,total_deposit,total_advance,cd_ratio
Dhalai,46,93880.82,72584.5,77
Gomati,64,171610.44,118456.45,69
Khowai,38,115552.87,74040.51,64
North Tripura,48,131047.15,82661.73,63
Sepahijala,57,145114.86,114712,79
South Tripura,59,172294.52,95490.07,55
Unakoti,32,90472.41,61275.77,68
West Tripura,193,1699860.58,841882.88,50
