district,nerlp_rs_in_lakhs_deposit_linkage_no_of_groups,nerlp_rs_in_lakhs_deposit_linkage_amt,nerlp_rs_in_lakhs_capacity_building_no_amt,nerlp_rs_in_lakhs_rf_amt,nerlp_rs_in_lakhs_credit_linked_no,amt_in_rs_lacs_nerlp_rs_in_lakhs_credit_linked,amt_in_rs_lacs_nerlp_rs_in_lakhs_no_of_federati_ons
Khowai,2966,326,758,875,342,342,104
North Tripura,3900,604.14,13752,4022,336,338.9,146
Sepahijala,3760,491.04,3343,1369.6,448,448,141
Unakoti,2671,360.13,4132,444.8,408,376.5,87
West Tripura,4704,1364.35,4357,896.6,504,505.5,173
