district,sum_insured_rs_hectare,actuarial_premium_rates_rs_hectare,farmer_premium_rates_rs_hectare,central_premium_rates_rs_hectare,state_premium_rates_rs_hectare,farmer_s_share_of_premium,central_share_of_premium,state_share_of_premium_total_premium
Dhalai,60921,2,2,0,0,1218.42,0,1218.42
Gomati,60921,3.4,2,0.7,0.7,1218.42,426.45,426.45
Khowai,60921,2,2,0,0,1218.42,0,1218.42
North Tripura,60921,2,2,0,0,1218.42,0,1218.42
Sepahijala,60921,3.4,2,0.7,0.7,1218.42,426.45,426.45
South Tripura,60921,2.45,2,0.23,0.23,1218.42,137.07,137.07
Unakoti,60921,2,2,0,0,1218.42,0,1218.42
West Tripura,60921,2,2,0,0,1218.42,0,1218.42
