District,22,2460,1_101,45
Hanumakonda,30.0,3700.0,1077.0,29.0
Hyderabad,32.0,22180.0,5157.0,23.0
Jayashankar Bhupalapally,25.0,1040.0,438.0,42.0
Mancherial,29.0,2060.0,607.0,29.0
Medchal Malkajgiri,28.0,8940.0,3052.0,34.0
Mulugu,33.0,800.0,185.0,23.0
Nagarkurnool,24.0,1400.0,619.0,44.0
Peddapalli,23.0,1900.0,846.0,45.0
Ranga Reddy,31.0,13200.0,3831.0,29.0
Sangareddy,26.0,3400.0,1397.0,41.0
Wanaparthy,27.0,940.0,375.0,40.0
