District,rural_no,urban_no,male_no,female_no,total_pmjdy_no,total_deposit_in_crore,no_of_zero_balance_accounts,no_of_rupay_cards_issued,no_of_accounts_aadhaar_seeded
Adilabad,379518.0,154778.0,224017.0,310279.0,534296.0,237.42,159339.0,363160.0,411027.0
Bhadradri Kothagudem,205550.0,124266.0,139436.0,190380.0,329816.0,107.33,34829.0,195357.0,266529.0
Hanumakonda,131138.0,278520.0,179930.0,229728.0,409658.0,152.54,39981.0,304607.0,344573.0
Hyderabad,82245.0,1162306.0,479858.0,764693.0,1244551.0,519.55,207542.0,991589.0,1081610.0
Jagitial,233976.0,80580.0,114587.0,199969.0,314556.0,167.55,80599.0,221741.0,260135.0
Jangoan,124307.0,39410.0,71645.0,92072.0,163717.0,57.71,15414.0,110338.0,136804.0
Jayashankar Bhupalapally,109545.0,26689.0,58468.0,77766.0,136234.0,47.24,13453.0,74090.0,109051.0
Jogulamba Gadwal,138390.0,77580.0,93107.0,122863.0,215970.0,74.05,28825.0,161285.0,180958.0
Kamareddy,212386.0,52849.0,112351.0,152884.0,265235.0,121.99,34756.0,176310.0,221365.0
Karimnagar,393281.0,158895.0,229263.0,322913.0,552176.0,219.16,197038.0,449476.0,444428.0
Khammam,238427.0,219325.0,199474.0,258278.0,457752.0,169.15,39855.0,308882.0,391962.0
Kumuram Bheem Asifabad,205823.0,24960.0,100980.0,129803.0,230783.0,129.95,34477.0,106234.0,181193.0
Mahabubabad,142186.0,118549.0,113956.0,146779.0,260735.0,54.05,25507.0,190420.0,202527.0
Mahabubnagar,245619.0,213492.0,197276.0,261835.0,459111.0,116.22,81737.0,358120.0,367613.0
Mancherial,255287.0,46626.0,122385.0,179528.0,301913.0,142.99,60487.0,169388.0,234122.0
Medak,266064.0,77868.0,149759.0,194173.0,343932.0,105.24,92333.0,265853.0,275345.0
Medchal Malkajgiri,107094.0,467906.0,233650.0,341350.0,575000.0,265.14,74190.0,453038.0,508145.0
Mulugu,85949.0,13043.0,42463.0,56529.0,98992.0,34.63,11155.0,62652.0,79062.0
Nagarkurnool,255295.0,77353.0,135691.0,196957.0,332648.0,83.31,109717.0,269065.0,247791.0
Nalgonda,287004.0,261670.0,231730.0,316944.0,548674.0,182.78,53086.0,377782.0,469738.0
Narayanpet,144296.0,80199.0,87634.0,136861.0,224495.0,58.3,43425.0,171684.0,168885.0
Nirmal,225241.0,49461.0,106359.0,168343.0,274702.0,154.96,35942.0,150545.0,222779.0
Nizamabad,348844.0,183766.0,214116.0,318494.0,532610.0,231.67,79957.0,379712.0,450234.0
Peddapalli,184965.0,73415.0,108173.0,150207.0,258380.0,118.44,69444.0,197812.0,208435.0
Rajanna Sircilla,137173.0,42007.0,71593.0,107587.0,179180.0,79.19,46136.0,127033.0,148158.0
Ranga Reddy,348504.0,411252.0,306754.0,453002.0,759756.0,346.11,92581.0,558861.0,659456.0
Sangareddy,313230.0,134035.0,198420.0,248845.0,447265.0,181.4,74026.0,330796.0,376476.0
Siddipet,238134.0,127415.0,158765.0,206784.0,365549.0,158.06,63895.0,264245.0,299366.0
Suryapet,214743.0,202535.0,189921.0,227357.0,417278.0,113.59,38667.0,323723.0,345512.0
Vikarabad,230573.0,54339.0,117808.0,167104.0,284912.0,107.79,41618.0,175008.0,206053.0
Wanaparthy,119744.0,77746.0,81058.0,116432.0,197490.0,56.27,48715.0,149647.0,151739.0
Warangal,127899.0,148870.0,121084.0,155685.0,276769.0,77.96,29505.0,223303.0,235283.0
Yadadri Bhuvanagiri,172275.0,70700.0,96417.0,146558.0,242975.0,97.02,16205.0,140718.0,203706.0
