District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Nizamabad,95.0,0.0,0.0,2272.56,17.89,21.29,2348.0,79.87,45.21,1026.01,5.71,16.02,8.0,10.17,52.83,167.13,99.41,0.0,4743.59,1963.4,6706.99,321.75,1715.86,8744.6,2344.7,7233.04,63.42,0.0,84.02,176.65,35.64,19.25,0.0,11404.86
Peddapalli,8.0,0.0,0.0,884.41,11.12,45.8,1020.0,16.44,30.44,288.17,0.0,0.0,315.0,0.79,5.77,80.14,67.86,0.0,2094.8,756.46,2851.26,57.98,420.31,3329.55,1163.98,2641.47,57.38,0.0,24.28,54.01,18.26,13.7,0.0,4603.78
Rajanna Sircilla,4.0,0.0,0.0,402.62,3.83,14.16,540.0,18.82,51.42,382.21,0.0,0.0,603.0,1.7,6.05,99.22,54.89,0.0,1681.51,485.89,2167.4,174.28,512.86,2854.54,559.35,1842.9,52.39,2.36,27.04,36.6,9.37,28.12,0.0,3517.38
Ranga Reddy,201.0,98.79,0.0,11803.58,63.11,58.17,6878.0,419.48,35.39,3910.1,1.12,4.89,58.0,1.01,18.7,220.83,203.27,0.0,4035.59,2889.24,6924.83,518.09,1340.15,8783.07,15086.05,17182.09,68.21,0.0,108.5,1185.3,22.91,5.4,0.0,25191.23
Sangareddy,71.0,0.0,0.0,2455.44,25.61,52.75,2652.0,84.04,27.03,1642.9,0.19,0.37,7.0,0.1,1.34,247.25,150.1,0.0,3687.31,1358.78,5046.09,158.1,851.69,6055.88,3081.27,5748.16,60.15,0.8,48.55,310.9,51.43,7.44,0.0,9556.27
Siddipet,22.0,0.0,0.0,928.46,14.71,78.62,1520.0,37.24,17.13,468.05,0.38,0.71,130.0,0.15,4.7,233.87,141.21,0.0,3965.61,1246.78,5212.39,187.03,819.53,6218.95,1090.07,4599.2,60.5,0.0,18.71,217.44,53.44,3.19,0.0,7601.8
Suryapet,61.0,0.0,0.0,1356.24,12.94,35.94,1440.0,40.94,22.74,600.17,0.41,1.14,10.0,0.18,0.26,51.57,60.57,0.0,3186.24,1165.87,4352.11,332.99,1616.11,6301.21,1624.49,6344.81,76.94,0.0,36.0,180.03,36.11,68.11,0.0,8245.95
Vikarabad,30.0,0.0,0.0,417.51,3.95,16.46,474.0,10.6,0.9,151.84,0.0,0.0,0.0,0.0,0.0,53.53,33.93,0.0,3794.37,1031.03,4825.4,99.3,706.62,5631.32,565.07,2681.31,35.88,0.0,24.0,1175.98,38.03,37.74,0.0,7472.14
Wanaparthy,2.0,0.0,0.0,324.53,7.0,30.51,1019.0,9.71,8.67,153.85,0.0,0.0,0.0,0.0,0.0,30.78,24.78,0.0,2736.26,665.16,3401.42,111.72,379.86,3893.0,353.85,2038.73,46.34,0.0,22.94,111.99,10.78,6.53,0.0,4399.09
Warangal,82.0,0.0,0.0,1913.77,13.95,48.3,1701.0,39.58,55.64,313.37,0.1,1.31,12.0,0.05,7.58,104.93,89.29,0.0,1968.02,1342.51,3310.53,259.92,695.38,4265.83,997.73,4144.77,77.16,0.0,28.88,71.13,7.65,0.66,0.0,5371.88
Yadadri Bhuvanagiri,56.0,0.0,0.0,696.92,4.62,26.32,709.0,14.24,20.29,229.27,4.45,37.84,1.0,0.02,0.13,18.04,19.17,0.0,2309.49,784.78,3094.27,263.92,738.77,4096.96,762.19,3470.57,69.78,0.0,17.55,70.17,11.76,15.05,0.0,4973.68
