District,no_in_actual_and_amount_in_crore_sr_no,priority_sector_farm_credit_crop_loan_a_c,amt,term_loan_a_c,out_of_farm_credit_total_allied_activities_a_c,agri_infrastructure_a_c,ancillary_activities_a_c,total_agriculture_ps_a_c,micro_enterprises_manufacturing_service_including_khadi_village_industries_a_c,small_enterprises_manufacturing_service_a_c,medium_enterprises_manufacturing_service_a_c
Adilabad,1.0,150436.0,2127.84,20978.0,4153.0,253.0,7189.0,178856.0,14887.0,357.0,84.0
Bhadradri Kothagudem,2.0,196325.0,2047.79,68971.0,32143.0,920.0,6756.0,272972.0,36444.0,517.0,15.0
Hanumakonda,3.0,145375.0,2406.77,53977.0,25701.0,212.0,8285.0,207849.0,25276.0,1576.0,209.0
Hyderabad,4.0,37184.0,1848.97,59129.0,26635.0,1484.0,5230.0,103027.0,140482.0,24360.0,9701.0
Jagitial,5.0,169708.0,2303.92,48367.0,21324.0,880.0,12333.0,231288.0,23106.0,472.0,50.0
Jangoan,6.0,137301.0,2025.75,40757.0,14552.0,857.0,3669.0,182584.0,10621.0,362.0,7.0
Jogulamba Gadwal,8.0,129084.0,1852.75,33632.0,11528.0,324.0,7893.0,170933.0,10855.0,333.0,10.0
Kamareddy,9.0,255426.0,2854.49,56423.0,26454.0,172.0,10642.0,322663.0,11525.0,353.0,10.0
Karimnagar,10.0,184095.0,2293.85,61502.0,34425.0,893.0,12819.0,259309.0,35429.0,1488.0,203.0
Khammam,11.0,373818.0,4695.29,129086.0,71259.0,833.0,18827.0,522564.0,55045.0,1305.0,150.0
Kumuram Bheem Asifabad,12.0,88803.0,923.97,7661.0,1840.0,18.0,4636.0,101118.0,6368.0,55.0,7.0
Mahabubabad,13.0,173471.0,2190.52,62333.0,22067.0,162.0,13283.0,249249.0,15020.0,270.0,11.0
Mahabubnagar,14.0,186624.0,2291.63,76919.0,32393.0,831.0,3749.0,268123.0,21681.0,732.0,92.0
Mancherial,15.0,128536.0,1569.61,21082.0,13293.0,472.0,10317.0,160407.0,18083.0,394.0,25.0
Medak,16.0,182603.0,1925.79,62386.0,18511.0,509.0,5411.0,250909.0,12568.0,473.0,70.0
Medchal Malkajgiri,17.0,88622.0,2427.32,38622.0,51289.0,2835.0,9570.0,139649.0,69186.0,10307.0,2851.0
Mulugu,18.0,64392.0,806.79,16400.0,5900.0,79.0,1822.0,82693.0,4249.0,77.0,1.0
Nagarkurnool,19.0,244285.0,2808.02,73365.0,32605.0,179.0,3993.0,321822.0,12146.0,281.0,16.0
Nalgonda,20.0,468764.0,6063.95,134939.0,41947.0,2108.0,20033.0,625844.0,37070.0,1197.0,208.0
Narayanpet,21.0,131491.0,1447.38,40064.0,7308.0,38.0,1905.0,173498.0,7884.0,107.0,0.0
Nirmal,22.0,170280.0,2330.6,35444.0,16384.0,137.0,11059.0,216920.0,17795.0,203.0,9.0
Nizamabad,23.0,329700.0,4380.31,84163.0,37202.0,1043.0,20872.0,435778.0,43144.0,1223.0,111.0
Peddapalli,24.0,121594.0,1380.43,40006.0,19397.0,360.0,6293.0,168253.0,24749.0,361.0,24.0
Rajanna Sircilla,25.0,84396.0,1017.79,27684.0,16096.0,79.0,7597.0,119756.0,12198.0,119.0,11.0
Ranga Reddy,26.0,277762.0,4865.32,115228.0,81466.0,1695.0,17387.0,412072.0,65005.0,4875.0,1265.0
Sangareddy,27.0,244482.0,3429.7,66855.0,21554.0,541.0,5922.0,317800.0,31502.0,1796.0,163.0
Siddipet,28.0,240555.0,2922.42,75146.0,33532.0,401.0,6753.0,322855.0,22383.0,495.0,33.0
Suryapet,29.0,333858.0,4486.37,95498.0,42772.0,2136.0,9801.0,441293.0,26785.0,1139.0,97.0
Vikarabad,30.0,211277.0,2396.96,55353.0,27381.0,1222.0,10271.0,278123.0,13246.0,457.0,15.0
Wanaparthy,31.0,128512.0,1586.96,39551.0,21336.0,397.0,5668.0,174128.0,10070.0,142.0,11.0
Warangal,32.0,148054.0,2099.94,57809.0,29471.0,395.0,9498.0,215756.0,33738.0,1432.0,57.0
Yadadri Bhuvanagiri,33.0,188073.0,2610.54,53013.0,14188.0,913.0,2204.0,244203.0,25285.0,509.0,22.0
