District,no_of_loan_accounts_units_in_thousands,loan_disbursement_amount_in_crore,total_subsidy_disbursement_amount_in_crore
Adilabad,585.0,78.11,13.14
Hanumakonda,3771.0,641.77,86.69
Hyderabad,42228.0,8833.42,962.71
Jagitial,7.0,0.6,0.16
Jogulamba Gadwal,8.0,0.92,0.16
Kamareddy,30.0,4.87,0.71
Karimnagar,2424.0,319.85,54.52
Khammam,1935.0,343.8,45.94
Mahabubabad,31.0,5.06,0.79
Mahabubnagar,2903.0,439.08,68.29
Mancherial,14.0,2.52,0.33
Medak,3700.0,659.6,88.39
Medchal Malkajgiri,1741.0,359.38,42.61
Nalgonda,3819.0,563.51,92.53
Nirmal,25.0,3.01,0.56
Nizamabad,1231.0,172.53,28.24
Peddapalli,7.0,0.93,0.16
Ranga Reddy,5575.0,1095.67,130.34
Sangareddy,90.0,15.97,2.25
Siddipet,15.0,2.43,0.36
Suryapet,56.0,9.07,1.45
Vikarabad,7.0,0.94,0.18
Wanaparthy,141.0,20.12,3.28
Warangal,20.0,1.83,0.44
Yadadri Bhuvanagiri,29.0,3.33,0.67
