District,no_in_actual_and_amount_in_crore_sr_no,loans_to_weaker_sections_under_priority_sector_a_c,amt,non_priority_sector_agriculture_nps_a_c,education_nps_a_c,housing_nps_a_c,personal_loans_under_nps_a_c,others_nps_a_c,total_non_priority_sector_a_c,grand_total_priority_sector_non_priority_sector_a_c
Adilabad,1.0,110805.0,1545.37,517.0,149.0,5550.0,27120.0,54375.0,87711.0,305085.0
Bhadradri Kothagudem,2.0,307173.0,3552.76,583.0,265.0,4768.0,41194.0,144579.0,191389.0,529738.0
Hanumakonda,3.0,215935.0,3418.49,488.0,1030.0,20889.0,68206.0,207601.0,298214.0,554301.0
Hyderabad,4.0,183257.0,4905.7,4266.0,8562.0,145100.0,868764.0,2544593.0,3571285.0,4004446.0
Jagitial,5.0,234847.0,3095.34,472.0,358.0,5209.0,52263.0,107819.0,166121.0,444599.0
Jangoan,6.0,177367.0,2714.59,240.0,128.0,3063.0,14554.0,38765.0,56750.0,261086.0
Jogulamba Gadwal,8.0,168419.0,2085.11,321.0,85.0,2469.0,12669.0,33259.0,48803.0,234515.0
Kamareddy,9.0,295771.0,3084.34,1028.0,182.0,5644.0,34887.0,48581.0,90322.0,434950.0
Karimnagar,10.0,260150.0,3511.99,666.0,925.0,12448.0,84064.0,194442.0,292545.0,646029.0
Khammam,11.0,579311.0,7633.32,1133.0,1418.0,23010.0,49119.0,199149.0,273829.0,912686.0
Kumuram Bheem Asifabad,12.0,52085.0,507.55,6.0,12.0,666.0,8020.0,10451.0,19155.0,132001.0
Mahabubabad,13.0,269065.0,3664.3,285.0,157.0,3612.0,14312.0,51567.0,69933.0,350763.0
Mahabubnagar,14.0,266364.0,3648.64,908.0,472.0,10446.0,40013.0,117621.0,169460.0,475807.0
Mancherial,15.0,108437.0,1443.54,276.0,202.0,8195.0,49673.0,82444.0,140790.0,339742.0
Medak,16.0,247323.0,3000.97,151.0,120.0,3461.0,12346.0,70135.0,86213.0,360621.0
Medchal Malkajgiri,17.0,136444.0,3629.87,3887.0,5419.0,142254.0,592362.0,1687383.0,2431305.0,2752480.0
Mulugu,18.0,81683.0,1169.41,4.0,21.0,917.0,4089.0,18991.0,24022.0,111954.0
Nagarkurnool,19.0,325521.0,3814.28,189.0,180.0,2844.0,14233.0,59083.0,76529.0,416715.0
Nalgonda,20.0,610554.0,8724.55,622.0,954.0,14185.0,57727.0,197676.0,271164.0,957393.0
Narayanpet,21.0,170703.0,1960.16,28.0,53.0,1476.0,5783.0,22377.0,29717.0,215504.0
Nirmal,22.0,152141.0,2159.65,346.0,186.0,3646.0,31596.0,41850.0,77624.0,323756.0
Nizamabad,23.0,456807.0,5878.82,813.0,928.0,19184.0,92188.0,161032.0,274145.0,808635.0
Peddapalli,24.0,167793.0,2124.74,243.0,334.0,6752.0,40607.0,83029.0,130965.0,345844.0
Rajanna Sircilla,25.0,117355.0,1660.43,121.0,220.0,3824.0,22830.0,58103.0,85098.0,229057.0
Ranga Reddy,26.0,388819.0,7096.41,4978.0,5680.0,87168.0,455248.0,735739.0,1288813.0,1835000.0
Sangareddy,27.0,324458.0,5233.13,744.0,734.0,42365.0,87308.0,214360.0,345511.0,729493.0
Siddipet,28.0,319360.0,4167.36,247.0,316.0,8000.0,28042.0,87939.0,124544.0,491414.0
Suryapet,29.0,459464.0,6302.23,243.0,666.0,11508.0,33305.0,100831.0,146553.0,637847.0
Vikarabad,30.0,255576.0,2913.62,118.0,101.0,2414.0,27904.0,111335.0,141872.0,446466.0
Wanaparthy,31.0,181467.0,2176.94,238.0,132.0,2951.0,11925.0,33747.0,48993.0,240853.0
Warangal,32.0,238719.0,3617.21,263.0,489.0,9355.0,39973.0,93714.0,143794.0,418322.0
Yadadri Bhuvanagiri,33.0,240993.0,3705.29,145.0,267.0,4415.0,23457.0,77531.0,105815.0,382837.0
