District,amount_in_crores_s_no,sc_no_of_a_c,sanction_amt,st_no_of_a_c,women_no_of_a_c,total_no_of_a_c
Adilabad,1.0,33.0,6.32,55.0,69.0,157.0
Bhadradri Kothagudem,2.0,52.0,9.53,77.0,145.0,274.0
Hanumakonda,3.0,200.0,41.63,150.0,515.0,865.0
Hyderabad,4.0,896.0,239.1,504.0,3096.0,4496.0
Jagitial,5.0,23.0,4.86,4.0,70.0,97.0
Jangoan,6.0,23.0,3.81,21.0,49.0,93.0
Jayashankar Bhupalapally,7.0,21.0,4.72,15.0,29.0,65.0
Jogulamba Gadwal,8.0,12.0,2.58,5.0,39.0,56.0
Kamareddy,9.0,29.0,5.67,14.0,59.0,102.0
Karimnagar,10.0,89.0,17.77,19.0,242.0,350.0
Khammam,11.0,121.0,23.93,85.0,282.0,488.0
Kumuram Bheem Asifabad,12.0,13.0,1.89,4.0,14.0,31.0
Mahabubabad,13.0,15.0,2.54,29.0,55.0,99.0
Mahabubnagar,14.0,95.0,24.67,131.0,249.0,475.0
Mancherial,15.0,47.0,9.83,14.0,56.0,117.0
Medak,16.0,33.0,5.23,17.0,85.0,135.0
Medchal Malkajgiri,17.0,226.0,63.78,87.0,1248.0,1561.0
Mulugu,18.0,3.0,1.48,8.0,6.0,17.0
Nagarkurnool,19.0,24.0,5.79,17.0,69.0,110.0
Nalgonda,20.0,158.0,29.33,109.0,282.0,549.0
Narayanpet,21.0,8.0,2.66,6.0,27.0,41.0
Nirmal,22.0,26.0,3.43,10.0,67.0,103.0
Nizamabad,23.0,86.0,17.74,57.0,273.0,416.0
Peddapalli,24.0,30.0,5.81,7.0,83.0,120.0
Rajanna Sircilla,25.0,15.0,2.39,8.0,39.0,62.0
Ranga Reddy,26.0,243.0,53.65,193.0,563.0,999.0
Sangareddy,27.0,190.0,46.46,60.0,362.0,612.0
Siddipet,28.0,55.0,9.15,14.0,129.0,198.0
Suryapet,29.0,65.0,13.39,92.0,154.0,311.0
Vikarabad,30.0,32.0,5.63,33.0,40.0,105.0
Wanaparthy,31.0,17.0,3.12,15.0,47.0,79.0
Warangal,32.0,2.0,0.26,2.0,2.0,6.0
Yadadri Bhuvanagiri,33.0,64.0,10.31,32.0,137.0,233.0
