District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,111.0,1583.14,637.76,2387.38,4608.28,2200.1,957.99,3959.34,7117.43,154.45
Bhadradri Kothagudem,181.0,1242.39,6191.12,0.0,7433.51,2300.66,8549.97,282.62,11133.25,149.77
Hanumakonda,169.0,905.36,688.19,14227.34,15820.89,1866.72,1924.07,17279.35,21070.14,133.18
Hyderabad,1156.0,9.36,234.78,422824.96,423069.1,130.58,1975.95,497656.71,499763.24,118.13
Jagitial,133.0,1873.17,2191.37,1856.02,5920.56,3066.3,2735.34,2522.84,8324.48,140.6
Jangoan,65.0,779.24,1203.84,12.39,1995.47,2234.21,3206.5,82.65,5523.36,276.79
Jayashankar Bhupalapally,52.0,603.05,1178.99,0.0,1782.04,1190.34,1430.54,48.15,2669.03,149.77
Jogulamba Gadwal,62.0,452.27,1438.62,0.0,1890.89,1604.91,2793.03,98.21,4496.15,237.78
Kamareddy,140.0,1389.57,2617.17,16.62,4023.36,3055.31,4680.1,110.56,7845.97,195.01
Karimnagar,222.0,3816.39,2192.19,7033.69,13042.27,4352.38,2583.08,10146.25,17081.71,130.97
Khammam,256.0,2273.62,2104.53,6326.21,10704.36,5217.24,4435.15,12385.63,22038.02,205.88
Kumuram Bheem Asifabad,56.0,1403.28,723.81,17.32,2144.41,1432.9,526.85,77.73,2037.48,95.01
Mahabubabad,75.0,503.22,1643.91,11.58,2158.71,1622.87,4213.88,108.07,5944.82,275.39
Mahabubnagar,140.0,1041.5,869.64,3909.38,5820.52,2495.3,2054.37,6808.07,11357.74,195.13
Mancherial,128.0,2419.6,5237.2,367.75,8024.55,2317.93,5305.28,490.3,8113.51,101.11
Medak,112.0,1040.0,1702.28,8.14,2750.42,2407.64,3538.59,390.69,6336.92,230.4
Medchal Malkajgiri,681.0,3068.8,9200.44,111815.15,124084.39,3104.78,10204.55,133759.61,147068.94,118.52
Mulugu,39.0,774.97,366.27,0.0,1141.24,1204.06,580.33,31.33,1815.72,159.1
Nagarkurnool,92.0,1206.21,1679.61,26.06,2911.88,2777.69,3711.6,145.47,6634.76,227.85
Nalgonda,236.0,2316.84,1491.31,5848.17,9656.32,6275.73,3540.39,12400.51,22216.63,230.07
Narayanpet,56.0,579.13,1048.29,0.0,1627.42,1429.24,1679.49,72.66,3181.39,195.49
Nirmal,97.0,1525.07,1766.56,63.99,3355.62,2909.56,3804.96,357.3,7071.82,210.75
Nizamabad,290.0,3269.57,2328.8,5040.99,10639.36,7037.6,4527.34,8048.68,19613.62,184.35
Peddapalli,118.0,2065.48,2251.9,3064.15,7381.53,1981.78,3387.83,2223.22,7592.83,102.86
Rajanna Sircilla,74.0,1087.36,2029.29,826.5,3943.15,1992.58,2258.2,834.72,5085.5,128.97
Ranga Reddy,805.0,10121.19,5490.63,77979.82,93591.64,9856.74,8113.47,88304.4,106274.61,113.55
Sangareddy,255.0,6325.59,6794.95,5856.22,18976.76,5866.65,17164.72,8409.88,31441.25,165.68
Siddipet,157.0,1809.11,1766.71,1854.32,5430.14,3692.25,3205.69,3553.82,10451.76,192.48
Suryapet,163.0,1378.3,1812.23,1804.4,4994.93,4136.7,5044.29,4750.17,13931.16,278.91
Vikarabad,107.0,1221.5,2054.39,50.92,3326.81,2500.64,3509.84,339.98,6350.46,190.89
Wanaparthy,61.0,454.0,1627.51,17.43,2098.94,1261.35,3065.11,95.39,4421.85,210.67
Warangal,139.0,800.91,695.06,7169.43,8665.4,2283.66,2219.63,7663.78,12167.07,140.41
Yadadri Bhuvanagiri,114.0,1341.84,2438.25,73.28,3853.37,3006.26,4424.28,320.46,7751.0,201.15
