District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,110805.0,17.49,214.9,43.03,8.0,34.44,149.0,182.74,34.27,996.18,276.81,38.57,54375.0,558.31,35.02,2909.79,1043.35,36.27,8.14,23.23,533.17,717.65,1594.32,2876.51
Bhadradri Kothagudem,307173.0,16.17,199.9,85.14,18.28,117.7,265.0,175.96,80.71,974.52,536.17,54.16,144579.0,1445.53,102.79,5230.75,2192.11,83.1,8.09,15.53,218.02,989.94,1406.28,2637.86
Hanumakonda,215935.0,444.63,106.5,63.44,53.47,113.5,1030.0,739.03,122.45,4255.2,907.76,124.15,207601.0,4268.02,175.18,12902.63,6412.91,151.4,417.59,47.1,603.53,731.19,2436.31,4235.72
Hyderabad,183257.0,4034.83,0.0,538.09,566.18,62.45,8562.0,10774.8,95.57,52928.32,7849.32,58.0,2544593.0,212599.84,94.34,408908.6,235824.97,93.93,0.0,906.62,11274.0,13533.0,225345.0,251059.0
Jagitial,234847.0,30.69,492.6,26.92,17.46,86.78,358.0,136.25,102.01,708.83,516.72,132.81,107819.0,580.65,39.95,2940.77,1281.77,64.01,6.23,20.12,133.56,389.07,1453.53,2002.51
Jangoan,177367.0,32.7,565.7,24.91,6.53,133.0,128.0,117.78,120.81,573.19,144.42,87.99,38765.0,339.54,135.04,1721.03,640.97,122.38,5.78,4.91,97.49,164.13,251.43,523.74
Jayashankar Bhupalapally,,1.13,148.7,,2.45,89.42,,45.56,107.2,,137.25,131.21,,248.66,138.01,,435.05,131.53,0.76,2.74,42.5,104.6,180.17,330.77
Jogulamba Gadwal,168419.0,30.73,696.8,5.95,4.88,154.4,85.0,78.12,120.93,393.11,143.73,127.06,33259.0,312.83,128.16,1351.52,570.29,132.82,4.41,3.16,64.6,113.12,244.09,429.38
Kamareddy,295771.0,12.69,155.5,31.96,7.28,99.73,182.0,159.48,110.9,892.55,314.54,112.49,48581.0,427.99,117.79,2459.88,921.98,114.93,8.16,7.3,143.8,279.61,363.36,802.23
Karimnagar,260150.0,108.02,178.1,37.36,42.74,94.45,925.0,446.0,104.63,2439.03,828.36,110.28,194442.0,1927.84,132.45,8024.33,3352.96,122.42,60.64,45.25,426.28,751.13,1455.54,2738.84
Khammam,579311.0,47.08,174.2,125.07,72.69,101.1,1418.0,767.65,134.92,4356.35,536.08,99.97,199149.0,2220.69,129.95,10023.61,3644.19,125.1,27.02,71.87,568.96,536.22,1708.84,2912.91
Kumuram Bheem Asifabad,52085.0,11.14,169.6,12.37,0.69,119.0,12.0,30.85,214.53,130.6,67.08,96.37,10451.0,122.83,129.53,529.43,232.59,125.07,6.57,0.58,14.38,69.61,94.83,185.97
