District,target_no,target_amt,achievement_no,achievement_amt,achievement_pct_no,achievement_pct_amt
Auraiya,2108.0,2025.21,173.0,62.02,8.21,3.06
Baghpat,1634.0,1569.46,695.0,487.3,42.53,31.05
Basti,3506.0,3361.75,1171.0,954.52,33.46,28.39
Deoria,3400.0,3265.7,1639.0,1068.53,48.21,32.72
Etah,1040.0,998.92,512.0,380.34,49.23,38.08
Fatehpur,3600.0,3457.8,867.0,361.78,24.08,10.46
Gonda,1571.0,1508.95,137.0,103.93,8.72,6.89
Gorakhpur,3900.0,3745.95,1178.0,830.21,30.21,22.16
Hamirpur,2310.0,2218.76,254.0,240.07,11.0,10.82
Hapur,735.0,705.97,231.0,189.38,31.43,26.83
Hardoi,3381.0,3247.93,1075.0,1390.08,31.8,42.8
Hathras,580.0,557.57,193.0,158.15,33.28,28.36
Jaunpur,1786.0,1715.93,179.0,130.29,10.02,7.59
Kannauj,1656.0,1590.59,1453.0,3155.5,87.74,100.0
Kasganj,505.0,485.05,186.0,110.83,36.83,22.85
Kheri,3.6,3457.8,674.0,467.78,18.72,13.53
Muzaffarnagar,989.0,950.41,588.0,421.18,59.45,44.32
