District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,233.0,8.0,84.0,325.0,3.74,
Ambedkar Nagar,36.0,1.0,4.0,41.0,0.6,
Auraiya,25.0,6.0,31.0,0.43,,
Ayodhya,88.0,1.0,20.0,109.0,1.09,
Azamgarh,88.0,2.0,17.0,107.0,1.72,
Baghpat,77.0,1.0,15.0,93.0,1.06,
Ballia,33.0,1.0,6.0,40.0,0.54,
Basti,16.0,6.0,2.0,24.0,0.24,
Chandauli,35.0,14.0,49.0,0.62,,
Deoria,28.0,3.0,5.0,36.0,0.42,
Etawah,56.0,1.0,7.0,64.0,0.7,
Farrukhabad,72.0,30.0,102.0,1.32,,
Firozabad,63.0,2.0,18.0,83.0,1.06,
Ghazipur,59.0,7.0,66.0,0.96,,
Gonda,33.0,1.0,14.0,48.0,0.58,
Gorakhpur,57.0,18.0,1.0,76.0,1.0,
Hardoi,109.0,12.0,67.0,188.0,1.99,
Jalaun,72.0,3.0,47.0,1.0,123.0,1.35
Jhansi,52.0,4.0,21.0,77.0,0.88,
Kanpur Dehat,51.0,4.0,2.0,57.0,0.7,
Kanpur Nagar,228.0,5.0,50.0,283.0,3.45,
Kaushambi,27.0,1.0,4.0,32.0,0.38,
Kushi Nagar,13.0,3.0,6.0,22.0,0.26,
Lalitpur,21.0,2.0,1.0,24.0,0.39,
Mahoba,36.0,2.0,30.0,68.0,0.68,
Mainpuri,99.0,3.0,20.0,122.0,0.93,
Mathura,125.0,10.0,29.0,164.0,2.12,
Mau,20.0,2.0,11.0,33.0,0.4,
Meerut,192.0,4.0,41.0,237.0,3.08,
Mirzapur,88.0,4.0,39.0,131.0,1.68,
Moradabad,89.0,14.0,16.0,119.0,1.41,
Muzaffarnagar,138.0,2.0,37.0,177.0,2.08,
Pratapgarh,50.0,1.0,10.0,61.0,0.77,
Prayagraj,96.0,2.0,31.0,123.0,1.74,
Shamli,41.0,19.0,60.0,0.78,,
Siddharth Nagar,9.0,1.0,10.0,0.08,,
Sitapur,106.0,3.0,66.0,1.0,176.0,1.93
Sultanpur,38.0,4.0,42.0,0.46,,
Unnao,93.0,2.0,48.0,1.0,144.0,1.72
