District,no_of_bank_mitra
Auraiya,73252.26
Bijnor,804342.39
Chitrakoot,142196.0
Etawah,124325.0
Firozabad,421323.0
Jhansi,317581.3
Kheri,344902.0
Kushi Nagar,402736.01
Mahoba,98144.0
Mathura,513447.0
Mau,232597.0
Meerut,1258288.09
Moradabad,574690.0
Saharanpur,732245.14
Shamli,281971.8
Shravasti,60028.0
Siddharth Nagar,345560.5
Varanasi,261914.34
