District,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
Bulandshahr,61320.0,48542.0,221.0,110083.0,228458.0,160619.0,1786.0,390923.0,501006.0
Hamirpur,39331.0,29818.0,42.0,69191.0,112268.0,79793.0,1154.0,193215.0,262406.0
Kanpur Nagar,148599.0,103981.0,391.0,252971.0,613598.0,418907.0,3089.0,1035594.0,1288565.0
Kushi Nagar,44017.0,42455.0,86.0,86558.0,188679.0,172015.0,1403.0,362097.0,448655.0
Lucknow,202754.0,147195.0,391.0,350340.0,673685.0,465689.0,3336.0,1142710.0,1493050.0
Meerut,95193.0,75281.0,873.0,171347.0,316444.0,219944.0,2276.0,538664.0,710011.0
Moradabad,95905.0,62940.0,126.0,158971.0,312126.0,195317.0,479.0,507922.0,666893.0
Pratapgarh,77147.0,76603.0,95.0,153845.0,275106.0,247657.0,2804.0,525567.0,679412.0
Prayagraj,139498.0,118483.0,217.0,258198.0,799618.0,615051.0,3044.0,1417713.0,1675911.0
Rampur,74787.0,46315.0,72.0,121174.0,274501.0,176249.0,708.0,451458.0,572632.0
Sant Kabeer Nagar,22420.0,27362.0,304.0,50086.0,116423.0,129736.0,2043.0,248202.0,298288.0
Shahjahanpur,76247.0,47916.0,39.0,124202.0,396769.0,305330.0,1110.0,703209.0,827411.0
Siddharth Nagar,40000.0,51784.0,76.0,91860.0,208977.0,199656.0,2855.0,411488.0,503348.0
Sultanpur,65992.0,60896.0,34.0,126922.0,309856.0,242137.0,1082.0,553075.0,679997.0
Unnao,109906.0,93919.0,71.0,203896.0,322591.0,258580.0,1399.0,582570.0,786466.0
Varanasi,108295.0,91758.0,199.0,200252.0,390754.0,329249.0,2747.0,722750.0,923002.0
