District,claims_paid_no,claims_rejected_no,claims_under_process_no,claims_pending_no,claims_total_no,claims_amount_crore
Agra,1429.0,15.0,96.0,4.0,1544.0,26.8
Balrampur,289.0,10.0,11.0,1.0,311.0,3.04
Bareilly,1674.0,23.0,121.0,5.0,1823.0,32.54
Fatehpur,495.0,9.0,38.0,1.0,543.0,9.5
Ghaziabad,1335.0,46.0,47.0,15.0,1443.0,24.48
Gonda,447.0,40.0,44.0,4.0,535.0,7.02
Jhansi,342.0,4.0,17.0,3.0,366.0,6.42
Kannauj,375.0,4.0,45.0,0.0,424.0,7.32
Kanpur Dehat,290.0,1.0,27.0,0.0,318.0,5.8
Kanpur Nagar,1073.0,26.0,54.0,11.0,1164.0,20.68
Kaushambi,188.0,2.0,17.0,0.0,207.0,3.54
Kheri,1141.0,58.0,120.0,5.0,1324.0,20.86
Kushi Nagar,264.0,2.0,17.0,2.0,285.0,5.0
Lalitpur,99.0,1.0,5.0,1.0,106.0,1.74
Mahoba,250.0,6.0,29.0,0.0,285.0,4.24
Mau,219.0,0.0,14.0,1.0,234.0,4.24
Meerut,1507.0,32.0,61.0,11.0,1611.0,26.1
Mirzapur,463.0,10.0,46.0,6.0,519.0,8.08
Moradabad,1884.0,24.0,107.0,9.0,2024.0,32.5
Muzaffarnagar,912.0,17.0,64.0,6.0,999.0,16.64
Pilibhit,640.0,9.0,41.0,0.0,690.0,12.16
Pratapgarh,694.0,8.0,43.0,3.0,748.0,13.54
Rae Bareli,869.0,7.0,53.0,1.0,930.0,16.9
Rampur,929.0,26.0,57.0,5.0,1017.0,16.12
Saharanpur,2018.0,32.0,118.0,24.0,2192.0,38.66
Sambhal,697.0,11.0,41.0,3.0,752.0,12.38
Sant Kabeer Nagar,106.0,4.0,4.0,0.0,114.0,1.86
Siddharth Nagar,113.0,0.0,10.0,0.0,123.0,1.92
Sitapur,813.0,14.0,81.0,4.0,912.0,14.54
Sultanpur,631.0,4.0,48.0,0.0,683.0,12.04
Unnao,722.0,6.0,62.0,3.0,793.0,14.02
