District,shishu_no,shishu_amt,kishore_no,kishore_amt,tarun_no,tarun_amt
Agra,3701.0,18064.87,,,,
Ambedkar Nagar,848.0,3520.93,,,,
Amethi,291.0,1460.03,,,,
Amroha,14925.0,117.56,,,,
Auraiya,269.0,1488.37,,,,
Ayodhya,1017.0,4224.42,,,,
Azamgarh,3175.0,8476.62,,,,
Bahraich,258.0,2034.78,,,,
Ballia,771.0,3398.18,,,,
Balrampur,248.0,1136.85,28.55,20099.0,132.98,130.33
Banda,2870.0,10918.39,,,,
Bareilly,16401.0,62444.89,,,,
Basti,723.0,3133.23,,,,
Bhadohi,9112.0,24510.46,,,,
Budaun,628.0,2053.41,,,,
Bulandshahr,8745.0,33323.81,250.0,31.43,,
Chandauli,395.0,1881.73,,,,
Chitrakoot,2034.0,7741.65,,,,
Etah,177.0,1538.89,54.0,5.92,61.0,
Etawah,1798.0,8552.67,78.0,1194.0,,
Farrukhabad,2161.0,16473.0,201.83,197.79,,
Fatehpur,142.0,29.41,76.0,9.72,,
Firozabad,785.0,2939.36,,,,
Gautam Buddha Nagar,1515.0,33951.61,,,,
Ghaziabad,1888.0,28958.11,,,,
Ghazipur,2292.0,5004.93,,,,
Gonda,737.0,3050.04,60.0,6.68,,
Gorakhpur,449.0,90.82,307.0,48.82,,
Hamirpur,171.0,1047.98,,,,
Hapur,782.0,64.28,54.26,15436.0,163.95,146.4
Hardoi,538.0,2634.01,,,,
Hathras,177.0,1497.03,86.0,12.11,,
Jalaun,185.0,1375.79,52.0,7.72,,
Jaunpur,1242.0,4883.06,65.0,7.92,,
Jhansi,1065.0,6052.04,,,,
Kannauj,291.0,1450.02,,,,
Kanpur Dehat,3225.0,18239.06,37.0,456.0,,
Kanpur Nagar,2258.0,20134.04,593.0,9687.0,,
Kaushambi,353.0,1386.17,,,,
Kheri,305.0,1775.59,,,,
Kushi Nagar,427.0,2401.21,51.0,852.0,,
Lalitpur,239.0,1318.35,,,,
Lucknow,37117.0,253008.3,849.0,149.51,273.02,
Maharajganj,763.0,3828.9,,,,
Mahoba,138.0,933.53,,,,
Mainpuri,308.0,1836.4,,,,
Mathura,963.0,6015.64,244.0,33.29,,
Mau,1199.0,3921.48,77.0,12.3,,
Meerut,1549.0,9922.63,462.0,85.57,137.27,
Mirzapur,702.0,4081.08,,,,
Moradabad,1468.0,7205.44,232.0,36.1,,
Muzaffarnagar,1027.0,4328.58,,,,
Pratapgarh,714.0,3560.33,,,,
Prayagraj,22794.0,111696.71,58.44,52.26,,
Rae Bareli,950.0,6390.86,,,,
Rampur,497.0,2443.33,62.0,6.05,42.34,
Saharanpur,1160.0,3793.79,226.0,29.27,,
Sambhal,155.0,1044.76,26.0,2.88,20.05,
Sant Kabeer Nagar,408.0,2085.64,39.0,5.84,,
Shahjahanpur,599.0,2531.4,,,,
Shravasti,77.0,279.13,,,,
Siddharth Nagar,619.0,2378.27,39.0,4.28,,
Sitapur,353.0,2565.6,8.27,,,
Sonbhadra,4948.0,26152.86,69.0,10.28,,
Sultanpur,639.0,3716.66,132.0,16.21,,
Unnao,554.0,3198.27,102.0,10.52,,
Varanasi,2354.0,12185.95,,,,
