District,Deposit,Advance,CD ratio Norm 60%,Crop Loan/KCC,% of Agri. Advto Nbc 18%,Total Priority Sector Advances,% of PS Advanceto Nbc Norm 40%
Bishnupur,17402.65,12034.82,69,1463.13,27,8778.93,73
Chandel,8665.58,5610.29,65,115.80,4,2616.35,47
Churachandpur,48536.34,21822.99,45,524.75,17,13977.86,64
Imphal East,60277.96,29318.65,49,1884.93,18,21185.64,72
Imphal West,515414.87,192788.64,37,6221.31,21,123305.40,64
Jiribam,0.00,0.00,0,0.00,0,0.00,0
Kakching,6328.34,5428.75,86,181.83,29,3681.33,68
Kamjong,784.32,449.92,57,0.00,0,142.45,32
Kangpokpi,12904.98,10103.13,78,147.32,23,5896.87,58
Noney,1656.57,725.20,44,8.37,9,422.42,58
Pherzawl,11.59,0.00,0,0.00,0,0.00,0
Senapati,23395.24,14836.51,63,738.26,10,7607.26,51
Tamenglong,5190.08,2096.54,40,4.00,44,1938.54,92
Tengnoupal,8526.34,4815.77,56,130.97,21,2473.25,51
Thoubal,30622.56,16670.81,54,1535.77,28,11532.17,69
Ukhrul,15291.24,4389.99,29,66.14,23,2891.52,66
