District,Agriculture,KCC,Industries,Education Loan,Housing Loan,Renewable Energy,Social Infrastructure,Other Priority Sector,Priority Sec. Total,Non- Priority,Grand Total,SHG Linkage,Jlg
Bishnupur,2000.00,200,1100.00,18,200,16.00,556.00,1500.00,5670.00,2000.00,7670.00,80,50
Chandel,500.00,500,1000.00,12,30,11.00,80.00,1500.00,3360.00,2050.00,5410.00,50,30
Churachandpur,1770.00,842,1000.00,64,304,69.00,127.00,2000.00,6451.00,5000.00,11451.00,80,50
Imphal East,2500.00,2000,2250.00,59,150,32.00,13.00,3300.00,9850.00,4500.00,14350.00,180,80
Imphal West,13317.00,8454,6000.00,289,1643,205.00,82.00,15141.00,45200.00,20000.00,65200.00,290,110
Senapati,3375.00,2074,1740.00,36,40,13.00,166.00,3160.00,8823.00,3550.00,12373.00,125,60
Tamenglong,1000.00,600,450.00,13,0,5.00,39.00,550.00,2060.00,300.00,2360.00,45,30
Thoubal,4000.00,4000,2500.00,65,140,107.00,82.00,2000.00,9520.00,5300.00,14820.00,100,60
Ukhrul,1000.00,800,450.00,15,0,16.00,23.00,700.00,2230.00,1000.00,3230.00,50,30
