District,Lead Bank,Dateof Dcc Meeting 1st Qtr,2nd Qtr,Datesof Dlrc Meeting 1st Qtr
Thoubal,S B I,26.09.16,,
Chandel,,19.10.16,18.01.17,19.10.16
Churachandpur,,14.09.16,24.01.17,14.09.16
Senapati,,27.09.16,,27.09.16
Imphal West,,07.10.16,06.01.17,07.10.16
Imphal East,U B I,26.09.16,,26.09.16
Bishnupur,,23.09.16,27.12.16,23.09.16
Tamenglong,,09.09.16,,09.09.16
Ukhrul,,27.07.16,,27.07.16
