district,Name of Bank Branches,No. of ATMs,Location
ALB Imphal,,1,Near Pologround
Axis Bank,,2,Imphal Branch
BAND,,1,Imphal Branch
"BOB, Imphal",,4,"Opposite Gurudwara, Changangei, Yurembam, M.U. Campus"
BOI,,1,RIMS Road
Bishnupur District’s SBI,,2,SBI Bishnupur Branch
"CAN, Imphal",,1,Thangal Bazar Branch
Chandel District’s SBI,,5,"One Each at: SBI Chandel Branch, Near SBI BSF Kangsang Branch, SBI Moreh Branch, SBI Chakpikarong Branch, Pallel"
Churachandpur District’s SBI,,2,SBI Loktak HEPA Branch
Tamenglong District’s SBI,,1,SBI Noney Branch
Thoubal District’s SBI,,2,Thoubal Branch
Ukhrul D.istrict’s SBI,,3,"One each at: SBI Ukhrul, Ukhrul Police Station and Kamjong."
