District,No. of SHGs Formed,No. of Women SHGs,No. of SHGs Taken Up Economic Activities
Thoubal,5373,5008,4588
Kakching,194,181,166
Chandel,372,335,382
Tengnoupal,689,621,708
Churachandpur,2311,2178,1951
Pherzawl,0,0,0
Senapati,3347,3227,2953
Kangpokpi,462,445,408
Imphal West,6886,5992,6114
Imphal East,2867,2598,2748
Jiribam,0,0,0
Bishnupur,2680,2372,2642
Tamenglong,595,482,511
Noney,430,348,369
Ukhrul,1438,1317,1402
Kamjong,8,7,8
