District,Lead Bank Allottedto,No. of villages,No. ofhouse – holds,Households Covered (Allotted Villages),% of householdscovered,No. of KCC issued
Thoubal,a id n I fo k n a B e ta tS,128,85295,158862,100,8456
Kakching,,,,,,652
Chandel,,447,29097,29291,100,1494
Tengnoupal,,,,,,1024
Churachandpur,,613,49916,68368,100,4118
Pherzawl,,,,,,0
Senapati,,934,34487,69968,100,4827
Kangpokpi,,,,,,2554
Imphal West,,150,111393,171809,100,20551
Imphal East,a id n I fo k n a B d e tin U,195,91806,76459,83,6221
Jiribam,,,,,,0
Bishnupur,,48,44891,82883,100,6695
Tamenglong,,171,24477,31246,100,134
Noney,,,,,,17
Ukhrul,,198,35790,42991,100,566
Kamjong,,,,,,0
