District,S.No.,Block,ATM Allocation,Present Status
Unakoti,06,Chandipur,PNB,PO/Work order have placed
Dhalai,02,Chawmanu,PNB,PNB requested for dispensation
North Tripura,10,Jubarajnagar,SBI,ATM has been installed by the Bank
South Tripura,14,Rupaichari,SBI,In process
West Tripura,16,Lefunga,SBI,ATM has been installed by the Bank
Gomati,09,Karbook,SBI,Bank is in the process of setting up ATM at given location
Sepahijala,11,Nalchar,SBI,In process
