district,cd_ratio,no_of_brs,total_deposit,total_advance,c_d_ratio
Dhalai,100,50,158455.44,158170.53,98
Gomati,71,68,286158.24,203669.17,69
Khowai,67,45,166213.01,111119.9,63
North Tripura,64,54,238667.52,152658.62,64
Sepahijala,66,62,250460.29,165875.02,61
South Tripura,62,67,285053.6,175455.35,65
Unakoti,72,37,146848.85,105254.26,69
West Tripura,41,221,2779909.56,1138051.58,43
