district,Coverage percentage (%) of eligible savings accounts through anyone digital mode,Coverage percentage (%) of eligible current accounts through anyone digital mode
Dhalai,100.00,100.00
Gomati,100.00,100.00
Khowai,100.00,100.00
North Tripura,100.00,100.00
Sepahijala,100.00,100.00
South Tripura,100.00,100.00
West Tripura,100.00,100.00
