District,Eligible Operative Savings Accounts No. of Accounts,"Of which, no. of women accounts",Debit/Ru Pay cards coveragee Total No. of Accounts covered,Coverage Pct,Women A/C Covered (of G6),Coverage Pct for women accounts,Internet Banking coveragee Total No. of Accounts covered
Dhalai,565801,279718,173808,6.84,13922,4.98,38684
Gomati,738701,379761,274510,11.36,32783,8.63,83908
Khowai,504128,253641,195270,10.48,24598,9.70,52829
Sepahijala,696106,352440,261183,9.65,26740,7.59,67191
