District,Address,Name of Sponsoring Bank,FLC Code,Special Camp No. of Literacy Camps undertaken,No. of Persons participated,Target Group Specific camp No. of Literacy Camps undertaken
Gomati,TGB Udaipur Branch,TGB,33903,10,506,10
Dhalai,LDM(Dhalai),PNB,19302,54,2905,64
Sepahijala,TGB Bishramganj Branch,TGB,33802,7,174,7
West Tripura,LDM(West),PNB,19102,9,843,19
Unakoti,LDM(Unakoti ),PNB,35602,49,2886,64
Khowai,TGB Khowai Branch,TGB,33701,6,151,6
South Tripura,TGB Santirbazar Branch,TGB,19201,3,43,1
North Tripura,TGB Dharmanagar Branch,TGB,19001,5,272,2
