district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Aizawl,359.78,119,17717.04,3424,0.00,0,664.78,132,0.00,4,18741.60,3679,0.00,0
Champhai,0.00,0,1247.54,643,0.00,0,0.35,1,0.00,0,1247.89,644,0.00,0
Hnahthial,0.00,0,698.05,151,0.00,0,0.00,0,6.30,2,704.35,153,0.00,0
Khawzawl,0.00,2,375.53,158,0.00,0,0.00,0,0.00,1,375.53,161,0.00,0
Kolasib,0.00,2,1503.39,727,0.00,0,143.79,131,0.00,0,1647.18,860,0.00,0
Lawngtlai,301.17,1381,2518.25,448,0.00,0,0.00,2,0.00,3,2819.42,1834,0.00,0
Lunglei,53.02,124,2512.09,922,0.00,0,0.00,7,0.00,1,2565.11,1054,0.00,0
Mamit,32.30,22,812.47,248,0.00,0,4.64,11,0.00,0,849.41,281,0.00,0
Saiha,0.00,0,707.48,148,0.00,0,20.00,2,0.00,2,727.48,152,0.00,0
Saitual,0.00,0,746.06,232,0.00,0,0.00,1,0.00,0,746.06,233,0.00,0
Serchhip,0.00,5,1281.70,323,0.00,0,0.00,4,0.00,1,1281.70,333,0.00,0
