district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Aizawl,118789,18931,99,52754,1636
Champhai,10657,1170,15,9196,158
Hnahthial,3627,1156,2,3066,20
Khawzawl,4560,780,12,4531,88
Kolasib,12571,3501,13,14903,189
Lawngtlai,15797,11033,30,23171,130
Lunglei,19483,7601,24,26769,99
Mamit,6344,1621,15,9117,24
Saiha,7982,1035,16359,7493,415
Saitual,4590,1272,8,3739,350
Serchhip,5620,1043,10,7938,141
