district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,70.28,30,2.01,21,4.51,2,1.43,315.41,178
Champhai,172.09,34,9.00,54,26.25,14,2.47,1063.22,377
Hnahthial,9.00,6,0.21,2,0.00,0,0.00,39.31,25
Khawzawl,113.68,33,2.74,14,9.43,9,4.05,233.03,158
Kolasib,55.28,15,64.74,43,80.79,52,15.27,529.02,301
Lawngtlai,14.57,21,15.95,19,23.98,29,9.99,240.06,222
Lunglei,3.00,2,0.44,6,1.55,1,1.85,83.60,56
Mamit,67.63,38,17.11,64,29.98,24,5.74,522.59,353
Saiha,18.45,14,8.12,15,47.84,30,8.29,577.10,298
Saitual,84.80,24,0.66,17,0.42,1,0.12,352.89,143
Serchhip,116.29,31,9.51,80,11.93,11,1.79,665.28,363
