district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Aizawl,187.52,57,484.19,94,459.32,214,14.45,3179.49,938
Champhai,8.92,7,19.32,7,21.89,9,8.39,260.96,102
Hnahthial,39.80,6,75.50,6,2.45,1,2.35,104.37,26
Khawzawl,3.82,2,10.00,2,25.53,8,13.69,186.47,58
Kolasib,59.04,9,59.15,9,177.20,51,19.11,927.37,246
Lawngtlai,26.80,12,47.80,12,43.42,26,13.60,319.26,176
Lunglei,13.26,13,36.42,13,61.47,35,6.56,936.67,395
Mamit,21.49,6,27.19,6,69.39,29,14.10,492.11,205
Saiha,14.75,5,32.20,5,69.18,34,30.40,227.55,102
Saitual,32.79,8,41.52,8,12.48,6,3.19,391.34,104
Serchhip,25.79,11,38.84,9,23.70,9,3.35,706.95,258
