district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Aizawl,23608.80,270.74,438721.61,46.98,,38.22,50258.03,0.00,1147958.23,38.61,462601.15,1198216.26
Champhai,3781.07,31565.33,252.45,58.76,69.70,,6434.24,45287.35,0.00,68.83,35598.85,51721.59
Hnahthial,8901.05,1159.66,0.00,53.21,79.53,,16727.21,1458.19,0.00,55.32,10060.71,18185.40
Khawzawl,5170.16,6827.86,0.00,61.71,65.24,,8377.90,10466.29,0.00,63.67,11998.02,18844.19
Kolasib,8766.37,30920.83,0.00,56.69,65.73,,15464.21,47040.41,0.00,63.49,39687.20,62504.62
Lawngtlai,16262.21,37618.43,0.00,121.73,109.28,,13358.75,34424.51,0.00,112.76,53880.64,47783.26
Lunglei,5930.51,66115.58,0.00,44.40,67.68,,13357.22,97686.96,0.00,64.88,72046.09,111044.18
Mamit,19939.77,2183.02,0.00,68.91,134.37,,28937.19,1624.66,0.00,72.39,22122.79,30561.85
Saiha,3107.24,30665.95,0.00,86.69,144.83,,3584.33,21174.00,0.00,136.41,33773.19,24758.33
Saitual,6057.60,7045.03,0.00,35.38,49.09,,17122.09,14351.49,0.00,41.63,13102.63,31473.58
Serchhip,14135.42,18135.45,0.00,66.09,69.30,,21388.63,26168.19,0.00,67.86,32270.87,47556.82
