district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Aizawl,106.51,42,39,102.93,7.24,106.84,53,8.36,1278.22,672,7.24,160,160
Champhai,176.09,35,35,176.09,0.11,26.32,15,2.26,1166.31,452,0.11,23,23
Hnahthial,32.00,14,14,32.00,0.26,0.94,2,1.02,92.60,57,0.26,95,95
Khawzawl,77.18,26,11,38.18,65.22,22.80,15,7.10,320.99,220,65.22,69,69
Kolasib,43.23,16,8,27.28,8.88,91.36,64,14.24,641.68,360,8.88,49,49
Lawngtlai,22.57,25,17,7.57,84.49,25.75,32,8.81,292.33,251,84.49,254,254
Lunglei,3.00,2,2,3.00,1.30,37.85,23,8.75,432.79,284,1.30,58,58
Mamit,66.86,37,37,66.86,1.71,34.56,30,4.77,725.27,490,1.71,38,38
Saiha,35.01,17,4,1.67,45.27,78.91,46,12.41,635.90,330,45.27,36,36
Saitual,117.80,34,23,81.80,2.10,14.77,11,3.02,489.87,232,2.10,40,40
Serchhip,70.23,22,13,41.99,13.59,17.98,15,1.96,916.25,474,13.59,44,44
