district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Aizawl,3719,1104.62,5295301,135165.11,5571134,148872.05,245662,16915.20,3359096,533852.03,104259,3149.76
Champhai,230,41.81,286341,8031.87,434909,12305.18,13748,895.72,235839,46300.04,3946,93.65
Hnahthial,0,0.00,87030,2051.68,110004,2051.88,374,94.62,110351,2092.98,1074,25.52
Khawzawl,0,0.00,159662,4242.81,137298,2480.42,1406,367.22,138695,2543.99,1762,44.33
Kolasib,176,940.13,445381,9548.92,606023,14204.05,17775,1523.07,418107,69304.93,7574,183.33
Lawngtlai,0,0.00,490412,13624.66,595284,14044.41,16816,1322.85,433781,9846.51,4406,115.57
Lunglei,332,25.91,805366,17221.79,1055221,22423.58,29967,2194.22,799911,65806.42,8847,241.38
Mamit,0,0.00,253208,5863.96,334639,6971.47,1473,354359.00,337039,6971.84,2800,74.03
Saiha,1,0.01,306394,6904.23,505991,9850.19,6676,1827.08,327441,5635.29,3039,96.27
Saitual,0,0.00,127178,2905.52,152453,3287.52,685,136.83,152636,3311.98,1539,39.80
Serchhip,0,0.00,243206,5097.90,491939,8303.70,9729,591.42,451029,7437.38,4356,112.00
