district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Aizawl,211081.72,47560,37867,55136,43226,11423,29585,24184,85427,62142
Champhai,886.07,12278,11327,14695,6636,5763,4398,14308,23605,9300
Hnahthial,376.36,4463,4148,6050,4449,553,2547,8611,8611,0
Khawzawl,763.22,8772,5775,10819,4544,2073,3844,6450,14547,8097
Kolasib,50807.93,12714,9948,14010,11883,3593,8170,14794,22662,7869
Lawngtlai,1541.86,25935,24979,25300,21410,6833,16995,40789,50914,10125
Lunglei,2216.34,29681,30753,31517,22111,13720,16356,38293,60434,22142
Mamit,1193.96,18158,13155,20850,8538,3885,7671,31313,31313,0
Saiha,1132.46,15236,10105,12005,8071,4704,6133,9472,25341,15871
Saitual,1067.41,6255,4492,8146,3140,1005,2612,10672,10747,75
Serchhip,1228.63,10707,8613,13565,7586,2741,6630,12118,19320,7202
