district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Aizawl,6,0,125,79,18,98,20,0,90,131,110
Champhai,0,11,0,37,3,40,4,13,0,11,17
Hnahthial,1,1,0,5,4,9,4,1,0,2,5
Khawzawl,1,2,0,19,0,19,5,3,0,3,8
Kolasib,1,11,0,44,4,49,6,14,0,12,20
Lawngtlai,1,5,0,84,0,84,5,7,0,6,12
Lunglei,1,16,0,69,7,76,7,15,0,17,22
Mamit,4,2,0,42,0,42,12,1,0,6,13
Saiha,0,6,0,35,1,36,1,6,0,6,7
Saitual,1,2,0,14,0,14,6,4,0,3,10
Serchhip,1,5,0,43,0,43,8,7,0,6,15
