district,sc_disbursement_amt,sc_disbursement_no,sc_outstanding_amt,sc_outstanding_no,st_disbursement_amt,st_disbursement_no,st_outstanding_amt,st_outstanding_no
Aizawl,22.36,5,501.26,146,19264.08,2838,214841.54,43481
Champhai,0.00,0,18.47,14,1194.98,249,20837.53,7493
Hnahthial,3.00,2,1.92,2,698.05,151,7621.63,1647
Khawzawl,0.00,0,5.50,2,375.53,158,6720.42,2946
Kolasib,4835.45,24,157.32,249,1453.25,543,24508.49,8958
Lawngtlai,0.02,1,81.40,17,2827.50,657,40016.30,7387
Lunglei,4.38,2,75.91,23,2511.21,680,45224.69,11599
Mamit,0.00,0,11.30,3,863.49,277,14385.16,5545
Saiha,0.00,1,32.59,7,906.64,172,20538.22,4748
Saitual,0.00,0,0.00,0,746.06,232,9368.54,4021
Serchhip,0.71,1,33.35,7,1255.95,318,24098.71,6986
