district,no_of_aadhaar_seeded_casa,no_of_authenticated_casa,no_of_operative_casa
Aizawl,330772,135448,473236
Champhai,43273,10271,61897
Hnahthial,12159,3721,17245
Khawzawl,15491,3372,21800
Kolasib,49698,13391,78315
Lawngtlai,53827,17845,87920
Lunglei,67402,20426,102492
Mamit,30545,6381,44328
Saiha,29746,6861,45297
Saitual,13262,4298,18999
Serchhip,33975,4217,46806
