district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
EAST JAIñTIA HILLS,22,117.78,40,132.78,713,900.18,4383,9748.6
East Garo Hills,26,70.54,63,204.89,334,538.76,2952,5420.16
East Khasi Hills,1107,2968.56,3436,7585.54,11277,28490.48,59639,230186.94
North Garo Hills,48,183.04,100,330,851,1497.1,5495,6862.58
Ri Bhoi,650,2643.79,2016,7513.01,6678,9712.47,24904,36023.97
South Garo Hills,12,5.09,28,27.08,289,828.59,3570,4610.28
South West Garo Hills,82,243.87,187,451.47,1203,2858.99,7099,10183.22
South West Khasi Hills,2,1.81,27,60.33,656,756.21,3442,4396.33
WEST JAIñTIA HILLS,134,423.55,854,2621.01,2474,4611.49,11311,37380.18
West Garo Hills,239,956.59,566,1929.04,1971,4723.46,14510,25263.21
West Khasi Hills,6,15.45,14,56,1620,2399.11,14175,18767.5
