district,culture Plantation & Amount horti-,A/C Nos Plantation horticulture &,Farm Amount anization mech-,Farm Nos nization A/C mecha-,Water Amount Resource,A/C Water Nos Resource,Amt wasteland Forestry and Dev.,Dev. A/C Forestry wasteland Nos and,Crop Amt Loan,Loan Crop A/C
East Garo Hills,0,0,0,0,0,0,0,0,54.15,65
East Khasi Hills,17.15,17,2.64,14,0,0,0,0,351.48,568
North Garo Hills,19.35,33,88.77,235,0,0,10.41,14,3940.44,6430
Ri Bhoi,0,0,0,0,0,0,0,0,579.15,748
South Garo Hills,3.2,2,19.26,55,0,0,1.67,3,4494.98,7012
South West Garo Hills,0,0,0,0,0,0,0,0,344.81,428
South West Khasi Hills,48.4,31,52.1,186,0,0,0,0,673.9,1016
West Garo Hills,0,0,0,0,0,0,0,0,565.24,910
West Khasi Hills,0,0,5.23,2,0,0,0,0,966.85,1351
