district,Rabi Number Insurance (Others),Rabi insured PMFBY under Amount,under Rabi Farmers No. of PMFBY covered,Kharif Number (Others) Insurance,Kharif insured PMFBY under Amount,ers Kharif No. covered PMFBY of under Farm-,Loan Current Amount Year Achievement Crop
East Garo Hills,0,0,0,0,0,0,6.75
East Khasi Hills,0,0,0,0,0,0,4477.32
Ri Bhoi,0,0,0,0,1,1,1117.52
West Garo Hills,0,0,0,0,0,0,164.84
