district,Branch Rural,Branch Semi- Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Ur- ban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
EAST JAIñTIA HILLS,23,4,0,27,16,3,0,19,36,34,70
East Garo Hills,5,8,1,14,2,8,1,11,28,38,66
East Khasi Hills,54,26,105,185,30,12,239,281,109,30,139
North Garo Hills,7,3,0,10,5,1,0,6,13,9,22
Ri Bhoi,32,14,1,47,25,14,1,40,41,26,67
South Garo Hills,3,3,1,7,1,2,0,3,14,29,43
South West Garo Hills,10,3,0,13,6,0,0,6,42,7,49
South West Khasi Hills,6,1,0,7,7,0,0,7,6,14,20
WEST JAIñTIA HILLS,18,22,3,43,9,20,1,30,41,32,73
West Garo Hills,19,18,6,43,10,39,1,50,168,48,216
West Khasi Hills,14,12,2,28,3,11,1,15,63,41,104
