district,Number of operative CASA,Number of Aadhaar seed- ed CASA,Number of Authenticated CASA
East Garo Hills,98857,3273,6598
East Khasi Hills,962888,115654,109944
North Garo Hills,115023,1093,2273
Ri Bhoi,258155,13497,8929
South Garo Hills,75351,439,1618
South West Garo Hills,124528,3379,6450
South West Khasi Hills,68043,252,393
West Garo Hills,425599,21731,23667
West Khasi Hills,231128,9429,4786
