district,Tot O/S Loan Amt. Minority to,Tot No. Minority Loan to O/S,Amt. JAINS,No. JAINS,Amt. TRIANS ZORAS-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. BUDDHISTS,DHISTS BUD- No,Amt. MUSLIMS,No MUSLIMS,TIANS CHRIS- Amt,TIANS CHRIS- No.
East Garo Hills,804.55,493,2.39,1,3.85,1,2.84,3,0,0,279.74,97,515.73,391
East Khasi Hills,102629.89,47738,173.82,17,0,0,1585.23,658,727.6,191,14068.28,2838,86074.96,44034
North Garo Hills,429.65,240,0,0,0,0,0,0,0,0,160.31,51,269.34,189
Ri Bhoi,26923.81,16890,113.33,11,0,0,561.66,56,463.26,66,13676.94,2514,12108.62,14243
South Garo Hills,562.62,450,0,0,0,0,0,0,0,0,153.82,42,408.8,408
West Garo Hills,21739.99,11309,5.63,3,0,0,133.98,24,55.34,22,14479.22,6133,7065.82,5127
West Khasi Hills,14150.81,11741,0,0,0,0,16.05,4,1.29,2,50.86,25,14082.61,11710
