district,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
EAST JAIñTIA HILLS,0,0,78,11.18
East Garo Hills,173,129.21,2,0.2
East Khasi Hills,194,110.82,5527,1206.63
North Garo Hills,0,0,88,94.2
Ri Bhoi,218,99.43,1317,310.62
South Garo Hills,0,0,22,8.3
South West Garo Hills,143,74.12,119,42.7
South West Khasi Hills,5,3.8,8,3.37
WEST JAIñTIA HILLS,0,0,210,38.33
West Garo Hills,803,482.79,634,195.6
West Khasi Hills,44,38.23,126,131.7
