district,NPA % PMEGP Amt.,PMEGP NPA Amt.,No. PMEGP NPA,PMEGP O/S Amt.,O/S No. PMEGP,CY Amt. DISBURSED,CY A/C No. DISBURSED,CY SANCTION Amt.,TION CY A/C SANC- No.
East Garo Hills,45.3,182.71,108,403.32,210,124.85,56,159.71,50
East Khasi Hills,35.77,1100.55,470,3076.48,1141,376.1,124,408.5,105
North Garo Hills,28.83,115.97,75,402.2,211,96.59,81,142.83,58
Ri Bhoi,37.4,205.14,146,548.54,316,79.61,44,112.12,42
South Garo Hills,41.36,145.68,97,352.25,176,70.47,32,87.09,26
West Garo Hills,25.74,386.75,178,1502.33,573,464.68,186,566.94,185
West Khasi Hills,45.8,198.74,146,433.91,263,43.57,25,70.18,25
