district,Amt. NPA SHG %,SHG Amt. NPA,NPA SHG No.,SHG Amt. O/S,O/S SHG No.,FY Amount Linked Credit Current,FY Linked No Credit Current,Savings Current Amount FY Linked,rent No Cur- Linked Savings FY,Linked Quarter During the Amount Credit,it Quarter During Linked No Cred- the,Linked Quarter During the Amount Savings,ings No Quarter During Linked Sav- the
East Garo Hills,12.26,14.54,18,118.55,152,51.72,55,72.97,551,30.4,31,72.03,531
East Khasi Hills,3.08,22.7,40,737.98,815,561.11,543,316.17,1966,306.66,292,115.02,762
North Garo Hills,23.38,15.32,16,65.52,67,63.58,63,85.84,1006,48.16,48,81.14,953
Ri Bhoi,4.71,56.43,67,1198.26,1277,538.68,464,155.9,897,103.22,98,48.77,433
South Garo Hills,10.58,24.22,51,228.9,302,147.75,193,157,924,55.54,54,89.82,678
West Garo Hills,6.49,60.1,137,925.53,1201,719.03,669,287.98,3236,360.34,318,155.98,1635
West Khasi Hills,3.74,60.3,65,1612.66,1410,768.18,572,207.03,961,243.16,142,39.21,296
