district,buddhists_amt,buddhists_no,christians_amt,christians_no,jains_amt,jains_no,muslims_amt,muslims_no,sikhs_amt,sikhs_no,total_amt,total_no,zorastrians_amt,zorastrians_no
Dimapur,2.63,11,3281.45,1026,158.64,29,868.63,288,174.66,50,4486.01,1404,0.00,0
Kiphire,0.00,0,0.00,0,0.00,0,3.80,6,0.70,2,4.50,8,0.00,0
Kohima,0.50,7,1589.40,624,0.00,1,444.37,110,12.50,17,2046.77,759,0.00,0
Longleng,0.00,0,0.00,0,0.00,0,60.60,9,0.00,0,60.60,9,0.00,0
Mokokchung,0.00,3,354.36,130,0.00,0,25.00,20,5.00,1,384.36,154,0.00,0
Mon,0.00,1,352.72,123,0.00,0,101.29,49,0.00,0,454.01,173,0.00,0
Peren,0.00,2,0.00,0,0.00,0,0.00,10,0.00,0,0.00,12,0.00,0
Phek,0.00,1,0.00,0,0.00,0,6.18,21,0.00,0,6.18,22,0.00,0
Tuensang,0.00,1,0.00,0,0.00,0,31.10,24,0.00,0,31.10,25,0.00,0
Wokha,5.00,4,136.38,63,0.00,0,139.15,30,14.83,8,295.36,105,0.00,0
Zunheboto,6.00,4,138.37,65,0.00,0,6.00,5,0.00,1,150.37,75,0.00,0
