district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,292.74,72,370.74,51,1313.04,377,39.48,3326.19,982
Kiphire,0.00,0,0.00,0,112.68,53,17.26,652.94,330
Kohima,139.40,38,232.11,24,610.41,197,42.62,1432.15,671
Longleng,0.00,0,0.00,0,8.37,9,2.10,399.30,211
Mokokchung,110.50,23,198.01,23,770.62,151,56.72,1358.56,320
Mon,78.70,31,127.01,31,62.29,24,9.23,675.07,362
Noklak,0.00,0,0.00,0,21.51,9,19.54,110.10,61
Peren,0.00,0,0.00,0,333.77,149,61.19,545.49,240
Phek,0.00,0,0.00,0,644.45,240,60.37,1067.57,413
Tuensang,0.00,0,0.00,0,20.66,8,3.23,638.65,319
Wokha,45.15,6,47.05,6,6.72,8,1.46,460.00,157
Zunheboto,15.57,16,49.50,16,27.58,20,3.86,713.81,427
