district,credit_linked_amt,credit_linked_no,credit_linked_no_cy,cy_credit_linked_amt,cy_savings_linked_amt,npa_amt,npa_no,npa_pct,os_amt,os_no,savings_linked_amt,savings_linked_no,savings_linked_no_cy
Dimapur,231.80,76,780,1714.52,433.61,402.53,274,17.14,2347.95,1032,125.25,552,3853
Kiphire,4.80,6,56,68.58,91.44,18.28,18,21.69,84.29,87,15.28,303,1006
Kohima,31.49,15,130,214.33,5353.15,80.75,58,16.10,501.44,376,5093.78,576,3001
Longleng,1.05,2,0,0.00,65.54,3.44,6,13.06,26.33,50,65.54,146,146
Mokokchung,134.00,61,535,687.14,235.35,171.30,184,16.02,1069.12,779,36.47,419,2182
Mon,22.50,12,177,167.90,183.43,37.58,49,20.93,179.54,187,43.18,681,2008
Noklak,0.00,0,0,0.00,0.40,0.00,0,0.00,6.45,16,0.40,48,48
Peren,27.08,16,32,29.22,63.02,25.20,36,11.02,228.75,255,10.72,147,608
Phek,7.00,7,161,152.06,262.08,44.93,44,20.35,220.84,247,99.57,620,2000
Tuensang,36.50,19,88,100.66,148.17,20.81,30,11.16,186.39,194,47.47,618,1688
Wokha,24.73,12,147,202.82,111.68,24.99,40,8.74,285.77,217,25.83,319,1025
Zunheboto,9.70,5,106,116.62,188.15,28.81,28,18.59,155.00,139,91.25,404,1158
