district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Dimapur,204615,49434,8,87668,3389
Kiphire,19094,14338,5,14338,657
Kohima,108192,13287,6,23625,1167
Longleng,12359,13321,5,13321,138
Mokokchung,77603,16330,5,21011,2684
Mon,54752,40730,4,41762,349
Noklak,4480,5607,2,5607,13
Peren,19889,12138,2,12138,1531
Phek,42240,18181,5,18181,1076
Tuensang,27305,30203,5,30203,635
Wokha,36589,10110,2,12298,608
Zunheboto,28030,11352,2,11790,721
