district,adv_rural,adv_semi_urban,adv_urban,cd_ratio_rural,cd_ratio_semi_urban,cd_ratio_urban,dep_rural,dep_semi_urban,dep_urban,overall_cd_ratio,total_advance,total_deposit
Dimapur,65463.77,64020.43,220367.56,88.03,52.19,49.17,74361.99,122663.26,448219.70,54.22,349851.76,645244.95
Kiphire,2705.89,11801.79,14.75,215.24,140.01,,1257.16,8429.25,0.00,149.93,14522.43,9686.41
Kohima,18484.77,143256.32,1766.03,56.59,24.68,129.47,32662.97,580464.60,1364.00,26.61,163507.12,614491.57
Longleng,9407.09,13.26,0.14,164.60,,,5715.25,0.00,0.00,164.83,9420.49,5715.25
Mokokchung,17612.50,51913.62,77.88,87.28,81.62,,20178.51,63605.79,0.00,83.08,69604.00,83784.30
Mon,9872.67,16214.59,7.11,90.00,72.44,,10969.49,22383.99,0.00,78.24,26094.37,33353.48
Noklak,2496.83,0.00,0.00,75.21,,,3319.88,0.00,0.00,75.21,2496.83,3319.88
Peren,15733.54,1605.52,23.97,149.41,87.15,,10530.56,1842.17,0.00,140.33,17363.03,12372.73
Phek,10725.28,15485.55,21.10,67.60,98.08,,15864.92,15789.00,0.00,82.87,26231.93,31653.92
Tuensang,6127.67,24538.08,38.14,140.50,129.40,,4361.41,18963.61,0.00,131.63,30703.89,23325.02
Wokha,6009.93,26535.20,4478.25,94.19,86.03,,6380.94,30845.38,0.00,99.45,37023.38,37226.32
Zunheboto,8054.19,22749.34,82.19,82.06,142.79,1369.83,9815.57,15932.18,6.00,119.93,30885.72,25753.75
