district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,10.00,5,3.58,5,6.69,8,4.96,134.82,123
Kiphire,0.00,0,0.00,0,2.63,4,31.69,8.30,14
Kohima,18.48,13,3.96,5,5.36,6,4.29,124.86,135
Longleng,4.00,2,0.32,3,0.00,0,0.00,11.56,20
Mokokchung,16.00,6,0.00,0,13.82,21,5.28,261.99,216
Mon,1.93,2,0.09,3,6.73,10,10.38,64.82,83
Noklak,0.00,0,0.00,0,0.00,0,0.00,3.09,10
Peren,0.00,0,0.00,0,4.89,3,20.68,23.65,45
Phek,0.00,0,0.05,1,0.00,0,0.00,13.40,26
Tuensang,0.00,0,0.01,2,1.60,1,6.02,26.60,47
Wokha,11.62,7,0.00,0,6.34,6,5.53,114.73,111
Zunheboto,2.00,2,0.00,0,2.90,4,6.61,43.89,45
