district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Dimapur,3827.99,77702,61950,87536,128253,8338,65885,18977,139652,119380
Kiphire,363.74,7991,7459,8445,13766,1540,11321,6023,15450,9432
Kohima,8028.33,17199,12163,16412,23191,2426,12601,12798,29362,13355
Longleng,262.97,8652,7266,9098,20989,311,11910,15919,15918,0
Mokokchung,1045.15,16056,15152,16677,26938,4286,13954,14050,31208,10594
Mon,1025.49,25458,25046,24425,41123,3688,36777,19617,50504,30897
Noklak,130.63,3055,3149,1222,6021,18,4329,6204,6204,0
Peren,438.77,9417,7337,8583,17672,238,10005,16735,16754,22
Phek,939.21,12448,10548,14280,20808,2144,14097,11323,22996,11679
Tuensang,665.08,16151,15746,9606,30181,2211,24274,6789,31897,25111
Wokha,456.54,9160,5898,6684,13374,1077,8262,5407,15058,7653
Zunheboto,354.18,9332,9949,5573,13692,4766,6912,14981,19281,4301
