district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Dimapur,66,70,31,64,5,70,13,18,34,167,65
Kiphire,3,1,0,10,0,10,1,2,0,4,3
Kohima,40,46,1,24,3,27,10,33,1,87,44
Longleng,0,3,0,11,0,11,2,0,0,3,2
Mokokchung,6,23,0,14,0,17,13,10,0,29,23
Mon,1,3,0,14,0,18,6,3,0,4,9
Noklak,1,0,0,2,0,2,1,0,0,1,1
Peren,5,1,0,11,0,12,3,1,0,6,4
Phek,8,1,0,15,0,17,5,4,0,9,9
Tuensang,0,7,0,9,0,10,6,2,0,7,8
Wokha,5,8,1,7,0,10,5,7,3,14,15
Zunheboto,3,6,0,4,0,4,6,4,0,9,10
