district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Dimapur,5816,4265.09,2340910,60528.71,156241724,9416339.47,263980,13538.02,20281865,5818698.01,2,0.03
Kiphire,0,0.00,115975,2945.64,0,0.00,1954,89.92,6,0.20,0,0.00
Kohima,2311,1323.69,971315,23314.27,30843469,2032057.40,116811,7651.16,6622352,2031919.44,0,0.00
Longleng,0,0.00,82442,2206.16,0,0.00,1,0.01,6,0.29,0,0.00
Mokokchung,405,318.59,466115,11506.88,12639946,686102.08,38228,1863.09,2923768,729941.51,0,0.00
Mon,0,0.00,335810,7859.13,8139,2529.26,7724,695.73,2392,603.03,0,0.00
Noklak,0,0.00,38905,863.17,0,0.00,0,0.00,1,0.00,0,0.00
Peren,0,0.00,157915,3262.43,0,0.00,389,17.60,1,0.00,0,0.00
Phek,0,0.00,254412,7066.08,4,0.29,2845,197.16,12,38.08,0,0.00
Tuensang,0,0.00,257218,6634.80,0,0.00,4080,230.34,0,0.00,0,0.00
Wokha,501,479.27,331138,7132.33,27295,2559.84,9494,734.54,3124,52727.86,0,0.00
Zunheboto,6,0.10,216085,4808.65,1303,1012.49,5967,621.98,515,8488.55,0,0.00
