District,Branch Rural,Semi-Urban,Urban,Total Branch,ATM Rural,"Out Of Total CSP, Fixed Point CSP",Others
Aizawl,20,1,126,69,5,51,18
Champhai,4,9,0,35,0,32,3
Hnahthial,4,0,0,6,1,2,4
Khawzawl,5,2,0,20,1,20,0
Kolasib,6,11,0,36,1,32,4
Lawngtlai,5,4,0,57,1,57,0
Lunglei,7,15,0,38,1,31,7
Mamit,12,1,0,34,4,34,0
Saiha,1,7,0,24,0,23,1
Saitual,6,2,0,9,1,9,0
Serchhip,8,5,0,23,1,23,0
