district,Total Br(s),Current Year Female Account,Current Year Male Account to SC,Current Year Male Account to ST,Total Current Year SUI Disb
Aizawl,110,48,4,51,103
Champhai,17,1,0,2,3
Hnahthial,5,0,0,0,0
Khawzawl,5,0,0,1,1
Kolasib,20,2,0,1,3
Lawngtlai,12,0,0,1,1
Lunglei,22,2,0,4,6
Mamit,13,2,0,0,2
Saiha,7,2,0,0,2
Saitual,10,0,0,0,0
Serchhip,15,0,0,0,0
